time_stamp	px_state	py_state	v_state	sensor_type	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010447750000	20.2423	10.4975	4.48596	radar	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	0.088124	0.105	0.811322	0.630847
1477010447800000	20.2892	10.8105	4.70461	lidar	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	0.0885514	0.104598	0.808405	0.628046
1477010447850000	20.3167	11.0629	4.70999	radar	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	0.088893	0.104147	0.805488	0.625203
1477010447900000	20.3517	11.3171	4.76459	lidar	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	0.0893383	0.103657	0.803107	0.62224
1477010447950000	20.3157	11.524	4.44774	radar	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	0.0891586	0.103324	0.799197	0.620439
1477010448000000	20.3799	11.784	4.53638	lidar	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	0.0895041	0.102902	0.795896	0.618217
1477010448050000	20.402	12.0137	4.61344	radar	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	0.0900378	0.102543	0.793727	0.61572
1477010448100000	20.3823	12.3395	4.84774	lidar	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	0.090279	0.102084	0.791477	0.612724
1477010448150000	20.3498	12.5387	4.54278	radar	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	0.0902255	0.1016	0.78799	0.610399
1477010448200000	20.3727	12.7924	4.60081	lidar	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	0.0905395	0.101116	0.785141	0.607852
1477010448250000	20.3738	12.9917	4.44151	radar	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	0.091096	0.100721	0.782364	0.606004
1477010448300000	20.3361	13.2185	4.46659	lidar	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	0.0914565	0.100391	0.779882	0.603977
1477010448350000	20.3049	13.4311	4.40592	radar	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	0.0917999	0.100234	0.777475	0.60223
1477010448400000	20.2744	13.7255	4.5942	lidar	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	0.0922162	0.0998031	0.77541	0.599667
1477010448450000	20.2336	13.9202	4.40794	radar	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	0.0926538	0.099557	0.772844	0.597851
1477010448500000	20.1644	14.2126	4.61197	lidar	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	0.0928491	0.0991127	0.770331	0.595277
1477010448550000	20.0995	14.4195	4.51431	radar	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	0.0929483	0.0987338	0.767622	0.592995
1477010448600000	19.9753	14.7151	4.75504	lidar	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	0.0926177	0.0983252	0.764649	0.590367
1477010448650000	19.9121	14.9131	4.64592	radar	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	0.0923138	0.0978952	0.761881	0.587817
1477010448700000	19.8898	15.1404	4.62226	lidar	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	0.0923743	0.0974717	0.76008	0.58527
1477010448750000	19.7869	15.3071	4.32451	radar	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	0.0922528	0.0972549	0.756875	0.584371
1477010448800000	19.7554	15.4988	4.25048	lidar	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95504	0.547223	0.0926711	0.0972796	0.754302	0.583426
